iter	RMSE
0	8.71059188
1	8.111070221
2	7.476414086
3	6.952750933
4	6.518211427
5	6.09612048
6	5.702835366
7	5.384238419
8	5.141901156
9	4.86588925
10	4.706054591
11	4.489242713
12	4.24622721
13	4.075021927
14	3.928341569
15	3.772135305
16	3.649241597
17	3.53456584
18	3.447655152
19	3.34817302
20	3.261476152
21	3.178329202
22	3.113280066
23	3.035605905
24	2.970916149
25	2.904157235
26	2.84280513
27	2.774288322
28	2.731025652
29	2.694200957
30	2.655167107
31	2.608213298
32	2.582975677
33	2.540402817
34	2.490888811
35	2.449513639
36	2.413595176
37	2.373082759
38	2.331017438
39	2.295251768
40	2.26197699
41	2.212575595
42	2.190075205
43	2.166487529
44	2.152623277
45	2.142923509
46	2.110632142
47	2.076703148
48	2.036488517
49	2.008098629
50	1.9932057
51	1.982989411
52	1.972828334
53	1.964156415
54	1.955394393
55	1.924186574
56	1.891057678
57	1.871292349
58	1.859622179
59	1.820304197
60	1.809090388
61	1.784262185
62	1.749018272
63	1.722732131
64	1.693110936
65	1.687904522
66	1.678114312
67	1.673717698
68	1.648414442
69	1.643361283
70	1.638999294
71	1.614357637
72	1.610259163
73	1.593268173
74	1.583036515
75	1.552953136
76	1.549443779
77	1.535653814
78	1.516373143
79	1.494720682
80	1.490897954
81	1.481314351
82	1.456517561
83	1.436908174
84	1.418130054
85	1.415540537
86	1.394880613
87	1.391130388
88	1.36657253
89	1.360615893
90	1.346556658
91	1.318549995
92	1.309643729
93	1.294140218
94	1.285152739
95	1.281672153
96	1.261007447
97	1.258815125
98	1.243290095
99	1.229985928
100	1.224525964
101	1.220010383
102	1.213145628
103	1.206003371
104	1.188536167
105	1.181256109
106	1.1668217
107	1.164710483
108	1.156478276
109	1.13942978
110	1.137431632
111	1.135971388
112	1.131730052
113	1.130705952
114	1.129181782
115	1.127929178
116	1.119300758
117	1.10838034
118	1.100039714
119	1.088519828
120	1.07628682
121	1.072332927
122	1.063640269
123	1.057852412
124	1.050580277
125	1.048000953
126	1.03904065
127	1.029997163
128	1.028816871
129	1.015856337
130	1.007206438
131	0.9963672934
132	0.9855404411
133	0.96605906
134	0.9650038664
135	0.9640439977
136	0.9541832818
137	0.9439091232
138	0.9281259513
139	0.9203608808
140	0.9076204624
141	0.9064146198
142	0.8957580731
143	0.8868845045
144	0.87800327
145	0.8772713406
146	0.8658640271
147	0.8564059976
148	0.8513522989
149	0.8406120686
150	0.8398931427
151	0.8319566293
152	0.8313848202
153	0.8277611897
154	0.8181554341
155	0.8128907971
156	0.8041718201
157	0.7963975222
158	0.7894617037
159	0.7888186592
160	0.7792707484
161	0.7773691339
162	0.7756760661
163	0.7663382379
164	0.7588187909
165	0.7581992939
166	0.7567483925
167	0.7560575714
168	0.7547634408
169	0.7485559008
