iter	Passed	Remaining
0	1	308
1	3	268
2	4	248
3	5	236
4	6	229
5	8	224
6	9	220
7	10	216
8	11	213
9	13	211
10	14	208
11	15	206
12	16	205
13	18	203
14	19	201
15	20	199
16	22	198
17	23	196
18	24	194
19	25	192
20	26	190
21	28	189
22	29	188
23	30	186
24	31	185
25	33	184
26	34	183
27	35	181
28	37	180
29	38	178
30	39	177
31	40	176
32	42	174
33	43	174
34	44	172
35	45	171
36	47	169
37	48	168
38	49	166
39	50	165
40	52	164
41	53	162
42	54	161
43	55	159
44	57	158
45	58	157
46	59	156
47	61	155
48	62	154
49	63	153
50	65	151
51	66	150
52	67	149
53	69	148
54	70	147
55	72	146
56	73	145
57	74	143
58	75	142
59	76	141
60	78	139
61	79	138
62	80	136
63	81	135
64	82	133
65	84	132
66	85	131
67	86	129
68	87	128
69	89	127
70	90	125
71	91	124
72	92	123
73	93	121
74	95	120
75	96	119
76	97	117
77	98	116
78	99	115
79	101	113
80	102	112
81	103	111
82	104	109
83	105	108
84	107	107
85	108	105
86	109	104
87	110	103
88	112	102
89	113	100
90	114	99
91	115	98
92	116	96
93	118	95
94	119	94
95	120	92
96	121	91
97	123	90
98	124	89
99	125	87
100	126	86
101	128	85
102	129	84
103	130	82
104	131	81
105	133	80
106	134	79
107	135	77
108	136	76
109	138	75
110	139	74
111	140	72
112	142	71
113	143	70
114	144	69
115	145	67
116	147	66
117	148	65
118	149	64
119	150	62
120	151	61
121	153	60
122	154	59
123	155	57
124	156	56
125	158	55
126	159	53
127	160	52
128	161	51
129	163	50
130	164	48
131	165	47
132	166	46
133	167	45
134	169	43
135	170	42
136	171	41
137	172	40
138	174	38
139	175	37
140	176	36
141	177	35
142	178	33
143	180	32
144	181	31
145	182	30
146	183	28
147	184	27
148	186	26
149	187	25
150	189	23
151	190	22
152	191	21
153	193	20
154	194	18
155	195	17
156	196	16
157	198	15
158	199	13
159	200	12
160	201	11
161	202	9
162	203	8
163	204	7
164	205	6
165	206	4
166	207	3
167	208	2
168	208	1
169	209	0
