bpm,dist,time
149,12050,4305
147,12120,4403
149,12170,4468
153,13910,5205
151,18400,6564
152,12260,4318
156,21280,7790
150,15570,5635
150,12070,4484
150,12060,4385
151,15020,5547
151,12160,4568
151,8020,3023
159,16020,6185
155,12030,4591
153,10990,4708
153,12050,4436
152,16040,5898
146,12030,4448
150,16060,5960
149,12020,4497
155,16010,6202
148,12020,4409
149,12010,4341
153,16010,5981
157,12040,4497
154,16210,6201
154,16010,6137
153,12010,4485
153,12010,4556
154,23020,8816
155,12560,4670
150,21000,8069
155,11470,4485
151,12010,4542
150,12030,4665
151,12190,4712
152,12000,4590
152,12010,4682
153,16030,6361
151,12010,4792
149,12000,4743
154,22160,8922
150,12000,4790
155,19580,8678
154,12010,4745
152,12030,4694
154,12020,4627
153,12050,4736
154,12110,4783
153,12000,4815
152,11890,4708
152,13000,5187
148,11930,4806
151,13890,5567
148,10010,4069
147,10240,4181
152,11940,4753
151,11640,4672
164,11010,4719
150,6510,2708
149,8030,3331
150,11320,4685
148,12010,4811
148,11330,4522
155,10000,3753
148,9650,3765
147,11600,4624
148,11970,4718
158,10000,3699
145,11490,4780
147,11140,4399
146,11860,4790
146,12040,4812
148,11690,4675
148,10420,4177
148,11680,4871
149,11760,4909
150,12120,5026
150,11360,4817
150,12530,5322
148,11940,5089
150,11800,5092
146,11640,4749
146,11580,4757
145,11400,4745
145,15510,6455
153,15580,6131
154,16000,6462
156,11980,4812
155,13230,5086
154,15250,6052
157,16000,6439
153,9190,3831
149,8080,3168
155,16000,6174
150,15760,6144
162,14170,5684
158,15550,6329
154,16000,6308
152,15740,6249
157,18660,7453
148,11540,4640
153,10440,4052
152,15810,6445
152,15780,6242
156,15630,6188
156,16010,6513
152,15660,6395
157,15700,6591
153,15030,6146
146,16010,7131
148,15800,6778
145,15000,6926
143,15000,6952
142,15570,7258
141,15000,7050
144,15240,7063
147,15290,7049
145,15730,7471
145,15228,6990
139,15730,7610
148,15360,7012
144,15020,7331
142,11430,5254
141,11150,5450
141,15390,8334
143,15020,7683
139,15000,7431
140,15000,7181
139,15000,7272
140,15000,6994
140,15050,7175
141,16320,7682
140,15880,7447
143,13160,5812
140,15000,7350
140,15000,7393
143,10280,4775
140,15010,7437
141,13600,6495
139,12650,6069
139,11453,5768
138,10030,4797
139,10318,5000
140,11560,5955
139,11513,6068
146,13388,5889
149,15346,6716
143,11357,5390
163,21901,9372
149,8659,3670
147,18047,8168
159,8191,3218
147,12985,5983
151,14921,6303
142,16204,7607
145,11963,5608
143,7238,3266
141,4025,1810
157,21264,7861
143,9507,4681
160,21281,7564
144,8413,3756
160,21254,7438
145,10844,4945
166,12013,4176
166,11458,4015
160,21253,7472
168,15005,5245
169,17006,5949
161,14630,5444
168,15010,5314
161,12193,5006
166,12001,4288
165,21254,7323
170,14330,4870
169,15009,5091
173,15007,5257
168,10033,3457
164,10650,3857
175,10006,3420
173,20013,7425
173,10008,3572
171,21260,7773
170,21265,7888
170,15017,5605
170,19457,7235
165,15006,5618
172,13720,5261
172,9364,3529
169,15156,5786
172,14388,5772
173,15071,6048
177,11639,4580
171,10599,4065
168,11539,4473
173,10382,4308
175,10000,3818
172,10010,3880
169,5760,2305
174,8030,3114
169,5760,2389
176,4860,2103
171,10010,3836
170,9500,3541
163,6010,2345
158,6070,2297
164,7175,2362
168,5100,2054
163,7700,3263
138,2010,1161
160,5730,2677
154,8860,4112
160,8490,3464
158,10630,4270
171,21510,8948
165,12610,5139
159,10010,4309
164,3460,1378
167,15050,5451
159,20010,7692
159,20000,8041
170,10000,3561
149,6590,2812
159,15000,5871
151,3900,1496
147,5830,2408
155,10000,3815
162,3300,1004
161,10010,3542
159,5410,1857
162,6000,2157
163,42500,15819
163,10000,3494
164,22560,8390
169,15010,5231
162,14520,5149
158,15000,5398
155,10000,3496
169,21250,7104
155,10000,3998
159,20000,7350
166,10000,3212
161,30000,11346
156,10020,3512
165,20000,7681
152,10080,3840
154,9500,3625
162,20010,7666
149,9500,3624
158,15010,5589
152,10000,3995
153,11940,4653
154,10170,3900
158,15440,5888
161,10010,3930
159,15010,5938
156,8020,3139
158,10250,4014
159,8160,2930
165,10020,3815
164,8200,3203
164,9320,3409
164,7100,2845
159,7960,3106
160,8720,3465
154,4800,2035
149,3620,1587
134,4600,2149
165,42500,16212
156,21500,7669
155,10010,3372
163,31340,11598
160,10000,3287
156,10000,3358
156,10010,3348
152,9210,2988
161,30000,11384
155,10010,3453
153,6490,2433
157,25020,8830
155,10040,3446
160,8010,2745
161,20020,7338
156,11080,3971
158,8050,3023
155,9620,3433
176,21250,7343
160,10440,3609
158,5150,1810
154,7870,2799
147,8020,3131
156,8050,2907
158,7320,2651
153,9000,3213
154,10940,3601
164,21250,7169
152,10000,3384
153,5410,1645
155,10010,3389
152,5700,1922
