bpm,pace,time,distance,dist_week,dist_month,dist_quater,dist_year,count_week,count_month,count_quater,count_year,point_week,point_month,point_quater,point_year,steps_week,steps_month,steps_quater,steps_yeqr,PAI_week,PAI_month,PAI_quater,PAI_yeqr,weight_week,weight_month,weight_quater,weight_yeqr,cold_week,cold_month,cold_quater,cold_yeqr,puls_week,puls_month,puls_quater,puls_year,gap,temperature,weight
149,357,4305,12050,24290,157020,372590,1050700,2,11,27,82,7.3,5.7,4.2,2.3,70401,367821,1160574,4096969,180,205,194,153,77.7,77.3,77,77.1,2,20,63,213,60,60,60,60,2,20,77.3
147,363,4403,12120,26080,152920,372480,1038580,2,11,27,81,4.9,5.3,4,2.2,83056,389085,1172636,4095739,197,208,195,152,78,77.3,77,77.1,4,21,65,214,60,60,60,60,4,21,77.3
149,366,4468,12170,32310,168800,372320,1049630,2,12,27,82,5.4,4.3,3.8,2.1,86186,400793,1184919,4102607,216,208,196,152,77.4,77.3,76.9,77.1,5,23,64,215,60,60,60,60,3,24,78.6
153,374,5205,13910,51940,154890,381430,1047120,3,11,27,82,5.7,4.4,3.8,2.1,98500,402329,1189566,4092889,239,203,196,152,76.9,77.2,76.9,77.2,5,23,64,215,61,60,60,60,2,29,76.9
151,356,6564,18400,49110,136490,363030,1044230,3,10,26,82,5.6,4.1,3.7,2.1,114150,394451,1181979,4092628,234,199,195,152,77.1,77.2,76.8,77.2,6,23,65,216,61,60,60,60,3,22,76.7
152,352,4318,12260,48920,135220,363330,1047550,3,10,26,82,5.3,3,3.5,2,109817,414068,1174499,4087938,210,191,194,151,77.2,77.2,76.8,77.2,5,22,65,216,60,60,60,61,2,23,77.2
156,366,7790,21280,27640,113940,363050,1042270,2,9,26,82,6.2,2.9,3.6,2,85354,407974,1177586,4078028,193,183,192,151,77.2,77.2,76.8,77.3,5,23,66,215,59,60,60,60,2,30,77.3
150,361,5635,15570,24130,98370,358950,1026700,2,8,26,81,5.8,2.4,3.3,1.9,70724,396254,1171106,4049694,190,177,191,150,77.2,77.2,76.8,77.3,4,23,64,215,59,60,60,60,2,22,76.6
150,371,4484,12070,27080,86300,346880,1026610,2,7,25,81,5.8,2,3.2,1.8,67138,382421,1154842,4051329,199,177,190,150,77.5,77.3,76.8,77.3,4,22,62,215,60,60,60,60,4,31,77.7
150,363,4385,12060,27180,86290,346830,1014550,2,7,25,80,4.7,1.7,3.1,1.8,87968,385690,1169463,4054788,201,179,189,149,77.2,77.1,76.7,77.3,6,23,63,216,61,59,60,61,3,24,77.3
