EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 17-09-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : maximum temperature in 0.1 &#176;C
30-34 Q_TX : Quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 104937) of FRANCE, PTE DE LA HAGUE (STAID: 793)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TX, Q_TX
   793,104937,18800101,-9999,    9
   793,104937,18800102,-9999,    9
   793,104937,18800103,-9999,    9
   793,104937,18800104,-9999,    9
   793,104937,18800105,-9999,    9
   793,104937,18800106,-9999,    9
   793,104937,18800107,-9999,    9
   793,104937,18800108,-9999,    9
   793,104937,18800109,-9999,    9
   793,104937,18800110,-9999,    9
   793,104937,18800111,-9999,    9
   793,104937,18800112,-9999,    9
   793,104937,18800113,-9999,    9
   793,104937,18800114,-9999,    9
   793,104937,18800115,-9999,    9
   793,104937,18800116,-9999,    9
   793,104937,18800117,-9999,    9
   793,104937,18800118,-9999,    9
   793,104937,18800119,-9999,    9
   793,104937,18800120,-9999,    9
   793,104937,18800121,-9999,    9
   793,104937,18800122,-9999,    9
   793,104937,18800123,-9999,    9
   793,104937,18800124,-9999,    9
   793,104937,18800125,-9999,    9
   793,104937,18800126,-9999,    9
   793,104937,18800127,-9999,    9
   793,104937,18800128,-9999,    9
   793,104937,18800129,-9999,    9
   793,104937,18800130,-9999,    9
   793,104937,18800131,-9999,    9
   793,104937,18800201,-9999,    9
   793,104937,18800202,-9999,    9
   793,104937,18800203,-9999,    9
   793,104937,18800204,-9999,    9
   793,104937,18800205,-9999,    9
   793,104937,18800206,-9999,    9
   793,104937,18800207,-9999,    9
   793,104937,18800208,-9999,    9
   793,104937,18800209,-9999,    9
   793,104937,18800210,-9999,    9
   793,104937,18800211,-9999,    9
   793,104937,18800212,-9999,    9
   793,104937,18800213,-9999,    9
   793,104937,18800214,-9999,    9
   793,104937,18800215,-9999,    9
   793,104937,18800216,-9999,    9
