EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 17-09-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : maximum temperature in 0.1 &#176;C
30-34 Q_TX : Quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 104949) of FRANCE, METZ-FRESCATY (STAID: 784)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TX, Q_TX
   784,104949,19390701,-9999,    9
   784,104949,19390702,-9999,    9
   784,104949,19390703,-9999,    9
   784,104949,19390704,-9999,    9
   784,104949,19390705,-9999,    9
   784,104949,19390706,-9999,    9
   784,104949,19390707,-9999,    9
   784,104949,19390708,-9999,    9
   784,104949,19390709,-9999,    9
   784,104949,19390710,-9999,    9
   784,104949,19390711,-9999,    9
   784,104949,19390712,-9999,    9
   784,104949,19390713,-9999,    9
   784,104949,19390714,-9999,    9
   784,104949,19390715,-9999,    9
   784,104949,19390716,-9999,    9
   784,104949,19390717,-9999,    9
   784,104949,19390718,-9999,    9
   784,104949,19390719,-9999,    9
   784,104949,19390720,-9999,    9
   784,104949,19390721,-9999,    9
   784,104949,19390722,-9999,    9
   784,104949,19390723,-9999,    9
   784,104949,19390724,-9999,    9
   784,104949,19390725,-9999,    9
   784,104949,19390726,-9999,    9
   784,104949,19390727,-9999,    9
   784,104949,19390728,-9999,    9
   784,104949,19390729,-9999,    9
   784,104949,19390730,-9999,    9
   784,104949,19390731,-9999,    9
   784,104949,19390801,-9999,    9
   784,104949,19390802,-9999,    9
   784,104949,19390803,-9999,    9
   784,104949,19390804,-9999,    9
   784,104949,19390805,-9999,    9
   784,104949,19390806,-9999,    9
   784,104949,19390807,-9999,    9
   784,104949,19390808,-9999,    9
   784,104949,19390809,-9999,    9
   784,104949,19390810,-9999,    9
   784,104949,19390811,-9999,    9
   784,104949,19390812,-9999,    9
   784,104949,19390813,-9999,    9
   784,104949,19390814,-9999,    9
   784,104949,19390815,-9999,    9
   784,104949,19390816,-9999,    9
   784,104949,19390817,-9999,    9
   784,104949,19390818,-9999,    9
   784,104949,19390819,-9999,    9
   784,104949,19390820,-9999,    9
   784,104949,19390821,-9999,    9
   784,104949,19390822,-9999,    9
   784,104949,19390823,-9999,    9
   784,104949,19390824,-9999,    9
   784,104949,19390825,-9999,    9
   784,104949,19390826,-9999,    9
   784,104949,19390827,-9999,    9
   784,104949,19390828,-9999,    9
   784,104949,19390829,-9999,    9
   784,104949,19390830,-9999,    9
   784,104949,19390831,-9999,    9
   784,104949,19390901,-9999,    9
   784,104949,19390902,-9999,    9
   784,104949,19390903,-9999,    9
   784,104949,19390904,-9999,    9
   784,104949,19390905,-9999,    9
   784,104949,19390906,-9999,    9
   784,104949,19390907,-9999,    9
   784,104949,19390908,-9999,    9
   784,104949,19390909,-9999,    9
   784,104949,19390910,-9999,    9
   784,104949,19390911,-9999,    9
   784,104949,19390912,-9999,    9
   784,104949,19390913,-9999,    9
   784,104949,19390914,-9999,    9
   784,104949,19390915,-9999,    9
   784,104949,19390916,-9999,    9
   784,104949,19390917,-9999,    9
   784,104949,19390918,-9999,    9
   784,104949,19390919,-9999,    9
   784,104949,19390920,-9999,    9
   784,104949,19390921,-9999,    9
   784,104949,19390922,-9999,    9
   784,104949,19390923,-9999,    9
   784,104949,19390924,-9999,    9
   784,104949,19390925,-9999,    9
   784,104949,19390926,-9999,    9
   784,104949,19390927,-9999,    9
   784,104949,19390928,-9999,    9
   784,104949,19390929,-9999,    9
   784,104949,19390930,-9999,    9
   784,104949,19391001,-9999,    9
   784,104949,19391002,-9999,    9
   784,104949,19391003,-9999,    9
   784,104949,19391004,-9999,    9
   784,104949,19391005,-9999,    9
   784,104949,19391006,-9999,    9
   784,104949,19391007,-9999,    9
   784,104949,19391008,-9999,    9
   784,104949,19391009,-9999,    9
   784,104949,19391010,-9999,    9
   784,104949,19391011,-9999,    9
   784,104949,19391012,-9999,    9
   784,104949,19391013,-9999,    9
   784,104949,19391014,-9999,    9
   784,104949,19391015,-9999,    9
   784,104949,19391016,-9999,    9
   784,104949,19391017,-9999,    9
   784,104949,19391018,-9999,    9
   784,104949,19391019,-9999,    9
   784,104949,19391020,-9999,    9
   784,104949,19391021,-9999,    9
   784,104949,19391022,-9999,    9
   784,104949,19391023,-9999,    9
   784,104949,19391024,-9999,    9
   784,104949,19391025,-9999,    9
   784,104949,19391026,-9999,    9
   784,104949,19391027,-9999,    9
   784,104949,19391028,-9999,    9
   784,104949,19391029,-9999,    9
   784,104949,19391030,-9999,    9
   784,104949,19391031,-9999,    9
   784,104949,19391101,-9999,    9
   784,104949,19391102,-9999,    9
   784,104949,19391103,-9999,    9
   784,104949,19391104,-9999,    9
   784,104949,19391105,-9999,    9
   784,104949,19391106,-9999,    9
   784,104949,19391107,-9999,    9
   784,104949,19391108,-9999,    9
   784,104949,19391109,-9999,    9
   784,104949,19391110,-9999,    9
   784,104949,19391111,-9999,    9
   784,104949,19391112,-9999,    9
   784,104949,19391113,-9999,    9
   784,104949,19391114,-9999,    9
   784,104949,19391115,-9999,    9
   784,104949,19391116,-9999,    9
   784,104949,19391117,-9999,    9
   784,104949,19391118,-9999,    9
   784,104949,19391119,-9999,    9
   784,104949,19391120,-9999,    9
   784,104949,19391121,-9999,    9
   784,104949,19391122,-9999,    9
   784,104949,19391123,-9999,    9
   784,104949,19391124,-9999,    9
   784,104949,19391125,-9999,    9
   784,104949,19391126,-9999,    9
   784,104949,19391127,-9999,    9
   784,104949,19391128,-9999,    9
   784,104949,19391129,-9999,    9
   784,104949,19391130,-9999,    9
   784,104949,19391201,-9999,    9
   784,104949,19391202,-9999,    9
   784,104949,19391203,-9999,    9
   784,104949,19391204,-9999,    9
   784,104949,19391205,-9999,    9
   784,104949,19391206,-9999,    9
   784,104949,19391207,-9999,    9
   784,104949,19391208,-9999,    9
   784,104949,19391209,-9999,    9
   784,104949,19391210,-9999,    9
   784,104949,19391211,-9999,    9
   784,104949,19391212,-9999,    9
   784,104949,19391213,-9999,    9
   784,104949,19391214,-9999,    9
   784,104949,19391215,-9999,    9
   784,104949,19391216,-9999,    9
   784,104949,19391217,-9999,    9
   784,104949,19391218,-9999,    9
   784,104949,19391219,-9999,    9
   784,104949,19391220,-9999,    9
   784,104949,19391221,-9999,    9
   784,104949,19391222,-9999,    9
   784,104949,19391223,-9999,    9
   784,104949,19391224,-9999,    9
   784,104949,19391225,-9999,    9
   784,104949,19391226,-9999,    9
   784,104949,19391227,-9999,    9
   784,104949,19391228,-9999,    9
   784,104949,19391229,-9999,    9
   784,104949,19391230,-9999,    9
   784,104949,19391231,-9999,    9
   784,104949,19400101,-9999,    9
   784,104949,19400102,-9999,    9
