EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 17-09-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : maximum temperature in 0.1 &#176;C
30-34 Q_TX : Quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 106439) of FRANCE, LE PUY - LOUDES (STAID: 2196)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TX, Q_TX
  2196,106439,19831001,-9999,    9
  2196,106439,19831002,-9999,    9
  2196,106439,19831003,-9999,    9
  2196,106439,19831004,-9999,    9
  2196,106439,19831005,-9999,    9
  2196,106439,19831006,-9999,    9
  2196,106439,19831007,-9999,    9
  2196,106439,19831008,-9999,    9
  2196,106439,19831009,-9999,    9
  2196,106439,19831010,-9999,    9
  2196,106439,19831011,-9999,    9
  2196,106439,19831012,-9999,    9
  2196,106439,19831013,-9999,    9
  2196,106439,19831014,-9999,    9
  2196,106439,19831015,-9999,    9
  2196,106439,19831016,-9999,    9
  2196,106439,19831017,-9999,    9
  2196,106439,19831018,-9999,    9
  2196,106439,19831019,-9999,    9
  2196,106439,19831020,-9999,    9
  2196,106439,19831021,-9999,    9
  2196,106439,19831022,-9999,    9
  2196,106439,19831023,-9999,    9
  2196,106439,19831024,-9999,    9
  2196,106439,19831025,-9999,    9
  2196,106439,19831026,-9999,    9
  2196,106439,19831027,-9999,    9
  2196,106439,19831028,-9999,    9
  2196,106439,19831029,-9999,    9
  2196,106439,19831030,-9999,    9
  2196,106439,19831031,-9999,    9
  2196,106439,19831101,-9999,    9
  2196,106439,19831102,-9999,    9
  2196,106439,19831103,-9999,    9
  2196,106439,19831104,-9999,    9
  2196,106439,19831105,-9999,    9
  2196,106439,19831106,-9999,    9
  2196,106439,19831107,-9999,    9
  2196,106439,19831108,-9999,    9
  2196,106439,19831109,-9999,    9
  2196,106439,19831110,-9999,    9
  2196,106439,19831111,-9999,    9
  2196,106439,19831112,-9999,    9
  2196,106439,19831113,-9999,    9
  2196,106439,19831114,-9999,    9
  2196,106439,19831115,-9999,    9
  2196,106439,19831116,-9999,    9
