EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 17-09-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGHT   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME

   31,104895,MARSEILLE OBS. PALAIS-LONCHAMP          ,FR,+43:18:18,+005:23:48,  75, TX6,18970101,20030331,   10,Jean-Michel Soubeyroux                            
   32,100100,BOURGES                                 ,FR,+47:03:33,+002:21:35, 161, TX6,19450301,20250831,   10,Jean-Michel Soubeyroux                            
   33,100104,TOULOUSE-BLAGNAC                        ,FR,+43:37:16,+001:22:44, 151, TX6,19470101,20250831,   10,Jean-Michel Soubeyroux                            
   34,100108,BORDEAUX-MERIGNAC                       ,FR,+44:49:50,-000:41:29,  47, TX6,19201109,20250831,   10,Jean-Michel Soubeyroux                            
   36,100116,PERPIGNAN                               ,FR,+42:44:14,+002:52:22,  42, TX6,19241117,20250831,   10,Jean-Michel Soubeyroux                            
   37,100120,LYON - ST EXUPERY                       ,FR,+45:43:35,+005:04:40, 235, TX6,19750420,20250831,   10,Jean-Michel Soubeyroux                            
   39,104892,MARIGNANE                               ,FR,+43:26:16,+005:12:58,   9, TX6,19210101,20250831,   10,Jean-Michel Soubeyroux                            
  322,104925,RENNES-ST JACQUES                       ,FR,+48:04:08,-001:44:02,  36, TX6,19450101,20250831,   10,Jean-Michel Soubeyroux                            
  323,104961,STRASBOURG-ENTZHEIM                     ,FR,+48:32:58,+007:38:25, 150, TX6,19240103,20250831,   10,Jean-Michel Soubeyroux                            
