time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-09-03 00:00:00,13.7,11.7,88,0,,310,4,,1014.8,,2
2025-09-03 01:00:00,14.5,12.2,86,0,,162,1.8,,1013.4,,2
2025-09-03 02:00:00,14.1,12.1,88,0,,174,1.8,,1013.1,,18
2025-09-03 03:00:00,13.7,11.6,87,0,,330,4,,1015.1,,18
2025-09-03 04:00:00,13.4,12.1,92,0,,194,1.8,,1012.6,,18
2025-09-03 05:00:00,13.1,12,93,0,,186,1.8,,1012.4,,18
2025-09-03 06:00:00,13.3,10.8,85,0,,310,4,,1015.7,,18
2025-09-03 07:00:00,13.9,12.1,89,0,,136,1.8,,1012.7,,18
2025-09-03 08:00:00,15,12.3,84,0,,125,1.8,,1013.1,,18
2025-09-03 09:00:00,13.8,10.8,82,0,,340,7,,1015.5,,18
2025-09-03 10:00:00,17.3,12.4,73,0,,109,3.7,,1013.4,,18
2025-09-03 11:00:00,18.5,12,66,0,,106,3.7,,1013.4,,3
2025-09-03 12:00:00,14.8,10.2,74,0,,340,7,,1016.5,,3
2025-09-03 13:00:00,20.4,12.1,59,0,,116,3.7,,1013.4,,3
2025-09-03 14:00:00,21,12.1,57,0,,129,3.7,,1013.4,,3
2025-09-03 15:00:00,15.9,10,68,0,,10,7,,1017.2,,3
2025-09-03 16:00:00,21.1,12,56,0,,154,3.7,,1013,,3
2025-09-03 17:00:00,20.6,12,58,0,,166,3.7,,1012.7,,3
2025-09-03 18:00:00,15.7,10.2,70,0,,360,7,,1017.6,,3
2025-09-03 19:00:00,19.1,12.1,64,0,,183,1.8,,1012.6,,3
2025-09-03 20:00:00,18,12.4,70,0,,193,1.8,,1012.8,,2
2025-09-03 21:00:00,14.1,9.9,76,0,,40,4,,1018.4,,2
2025-09-03 22:00:00,16.2,12.6,79,0,,197,1.8,,1013.3,,2
2025-09-03 23:00:00,15.5,12.4,82,0,,187,1.8,,1013.6,,2
2025-09-04 00:00:00,13.3,10.7,84,0,,10,4,,1018.7,,2
2025-09-04 01:00:00,14.3,12.2,87,0,,182,1.8,,1013.6,,2
2025-09-04 02:00:00,13.8,12,89,0,,185,1.8,,1013.4,,2
2025-09-04 03:00:00,12.9,10.6,86,0,,310,4,,1019.4,,2
2025-09-04 04:00:00,12.9,11.8,93,0,,192,1.8,,1013.3,,2
2025-09-04 05:00:00,12.5,11.9,96,0,,198,1.8,,1013.4,,2
2025-09-04 06:00:00,12.7,10.4,86,0,,340,7,,1019.9,,2
2025-09-04 07:00:00,13.5,11.9,90,0,,176,1.8,,1013.6,,3
2025-09-04 08:00:00,14.8,12.1,84,0,,154,1.8,,1013.7,,2
2025-09-04 09:00:00,13.1,11.2,88,0,,340,4,,1020.5,,2
2025-09-04 10:00:00,17,12.1,73,0,,124,3.7,,1013.6,,2
2025-09-04 11:00:00,18,12,68,0,,108,3.7,,1013.5,,3
2025-09-04 12:00:00,17,10.1,64,0,,340,4,,1020,,3
2025-09-04 13:00:00,19.4,11.7,61,0,,94,3.7,,1013.4,,3
2025-09-04 14:00:00,19.9,11.6,59,0,,95,3.7,,1013.3,,3
2025-09-04 15:00:00,18,10.1,60,0,,310,4,,1020.2,,3
2025-09-04 16:00:00,19.8,11.8,60,0,,112,3.7,,1013.3,,3
2025-09-04 17:00:00,19.2,11.7,62,0,,126,3.7,,1013.2,,3
2025-09-04 18:00:00,17.4,10.5,64,0,,310,7,,1020.5,,3
2025-09-04 19:00:00,17.6,11.8,69,0,,121,3.7,,1013.9,,2
2025-09-04 20:00:00,16.6,11.9,74,0,,61,1.8,,1014.7,,2
2025-09-04 21:00:00,13.4,11.3,87,0,,0,0,,1021.4,,2
2025-09-04 22:00:00,15,11.8,81,0,,350,1.8,,1015.5,,1
2025-09-04 23:00:00,14.5,11.6,83,0,,316,1.8,,1015.6,,1
2025-09-05 00:00:00,15.1,11.1,77,0,,330,4,,1021.5,,1
2025-09-05 01:00:00,13.5,11.6,88,0,,267,1.8,,1015.7,,1
2025-09-05 02:00:00,13.1,11.3,89,0,,275,1.8,,1015.8,,1
2025-09-05 03:00:00,11.8,10.9,94,0,,0,0,,1022.4,,1
2025-09-05 04:00:00,12.5,11.2,92,0,,311,1.8,,1016,,1
2025-09-05 05:00:00,12.3,11.4,94,0,,315,1.8,,1016.1,,1
2025-09-05 06:00:00,10.6,10.1,97,0,,0,0,,1023,,1
2025-09-05 07:00:00,12.9,11.5,91,0,,44,1.8,,1016.8,,1
2025-09-05 08:00:00,13.7,11.4,86,0,,50,3.7,,1017.5,,1
2025-09-05 09:00:00,15.2,11,76,0,,20,4,,1023.7,,1
2025-09-05 10:00:00,15.6,11.2,75,0,,48,3.7,,1018,,2
2025-09-05 11:00:00,16.5,11,70,0,,45,3.7,,1017.9,,2
2025-09-05 12:00:00,19,11.1,60,0,,0,0,,1023.2,,2
2025-09-05 13:00:00,20,10.1,53,0,,8,5.5,,1022.1,,2
2025-09-05 14:00:00,20.4,9.9,51,0,,8,5.5,,1021.9,,2
2025-09-05 15:00:00,20.2,10.9,55,0,,20,4,,1022.3,,2
2025-09-05 16:00:00,20.2,9.7,51,0,,9,5.5,,1021.8,,2
2025-09-05 17:00:00,19.7,9.8,53,0,,11,5.5,,1021.8,,2
2025-09-05 18:00:00,20,10.7,55,0,,360,4,,1022.1,,2
2025-09-05 19:00:00,17.8,10.2,61,0,,12,3.7,,1022.1,,2
2025-09-05 20:00:00,16.5,10.6,68,0,,12,1.8,,1022.4,,2
