bpm,age,weight,temp,dist,time,gap,dist_week,train_week,dist_month,train_month,dist_h_year,train_h_year
149,16248,77.3,20,12050,4305,2,24290,2,157020,11,702790,51
147,16246,77.3,21,12120,4403,4,26080,2,152920,11,703670,51
149,16242,78.6,24,12170,4468,3,32310,2,168800,12,703430,51
153,16239,76.9,29,13910,5205,2,51940,3,154890,11,689520,50
151,16237,76.7,22,18400,6564,3,49110,3,136490,10,685010,50
152,16234,77.2,23,12260,4318,2,48920,3,135220,10,672750,49
156,16232,77.3,30,21280,7790,2,27640,2,113940,9,661480,49
150,16230,76.6,22,15570,5635,2,24130,2,98370,8,656150,49
150,16228,77.7,31,12070,4484,4,27080,2,86300,7,644080,48
150,16224,77.3,24,12060,4385,3,27180,2,86290,7,655600,49
151,16221,77,24,15020,5547,2,36200,3,99340,8,651590,49
151,16219,77.3,31,12160,4568,3,36070,3,87180,7,639430,48
151,16216,76.5,35,8020,3023,2,28050,2,95220,7,631410,47
159,16214,78.3,39,16020,6185,2,12030,1,91220,7,615390,46
155,16212,77,35,12030,4591,7,10990,1,95200,7,603360,45
153,16205,77,29,10990,4708,9,0,0,108240,8,592370,44
153,16196,76.3,26,12050,4436,3,28070,2,140450,10,580320,43
152,16193,76.3,26,16040,5898,2,28090,2,124410,9,570790,43
146,16191,76.5,29,12030,4448,3,28080,2,112380,8,558760,42
150,16188,76.3,31,16060,5960,3,28030,2,112330,8,542700,41
149,16185,76.3,28,12020,4497,2,28030,2,112320,8,530680,40
155,16183,76.7,33,16010,6202,4,24030,2,108320,8,514670,39
148,16179,77.2,25,12020,4409,3,40060,3,119320,8,502650,38
149,16176,77.2,26,12010,4341,2,28050,2,119870,8,490640,37
153,16174,77.5,30,16010,5981,2,28250,2,103860,7,474630,36
157,16172,76.1,38,12040,4497,4,16210,1,112820,7,462590,35
154,16168,76.5,33,16210,6201,8,0,0,108080,7,446380,34
154,16160,76.6,32,16010,6137,3,24020,2,116110,8,438400,34
153,16157,76.8,28,12010,4485,4,12010,1,116290,8,426390,33
153,16153,76.1,33,12010,4556,4,35580,2,116280,8,414380,32
154,16149,76.1,23,23020,8816,3,33560,2,121300,9,391360,31
155,16146,76.7,28,12560,4670,3,32470,2,120750,9,378800,30
150,16143,76.7,29,21000,8069,2,23480,2,111750,9,357800,29
155,16141,76.7,30,11470,4485,5,12010,1,100280,8,346330,28
151,16136,76,21,12010,4542,4,24220,2,110430,8,345640,28
150,16132,77,19,12030,4665,3,24190,2,110400,8,345620,28
151,16129,75.9,21,12190,4712,4,24010,2,117790,8,344760,28
152,16125,76.4,21,12000,4590,3,28040,2,117800,8,342760,28
152,16122,74.9,22,12010,4682,3,40040,3,105790,7,340400,28
153,16119,75.6,22,16030,6361,2,24010,2,101790,7,347940,29
151,16117,75.8,16,12010,4792,2,12000,1,101800,7,345930,29
149,16115,76,14,12000,4743,9,0,0,89800,6,333930,28
154,16106,78,20,22160,8922,3,31580,2,103800,8,358300,31
150,16103,77.5,15,12000,4790,4,31590,2,91800,7,357990,31
155,16099,78.4,20,19580,8678,2,12010,1,84110,7,360510,32
154,16097,76.4,17,12010,4745,7,12030,1,85100,7,360260,32
152,16090,76.3,24,12030,4694,3,24070,2,85000,7,384240,34
154,16087,75.7,21,12020,4627,4,24160,2,86870,7,372220,33
153,16083,75.8,23,12050,4736,3,24110,2,84830,7,372110,33
154,16080,75.7,15,12110,4783,3,12000,1,82960,7,371800,33
153,16077,75.5,11,12000,4815,7,11890,1,82900,7,359800,32
152,16070,77.7,19,11890,4708,3,24930,2,93660,8,347910,31
152,16067,77.9,15,13000,5187,2,11930,1,80660,7,334910,30
148,16065,77.5,9,11930,4806,8,0,0,68730,6,322980,29
151,16057,77.5,17,13890,5567,4,20250,2,54840,5,332310,30
148,16053,78,17,10010,4069,2,22180,2,44830,4,333700,30
147,16051,78,14,10240,4181,4,23580,2,34590,3,338970,30
152,16047,78.2,12,11940,4753,2,22650,2,22650,2,358610,31
