bpm,distance,time,pace,gap,dist_week,dist_month,dist_quater,dist_year,count_week,count_month,count_quater,count_year,point_week,point_month,point_quater,point_year,puls_week,puls_month,puls_quater,puls_year,weight,temperature
149,12050,4305,357,2,24290,157020,372590,1050700,2,11,27,82,7.3,5.7,4.2,2.3,60,60,60,60,77.3,20
147,12120,4403,363,4,26080,152920,372480,1038580,2,11,27,81,4.9,5.3,4,2.2,60,60,60,60,77.3,21
149,12170,4468,366,3,32310,168800,372320,1049630,2,12,27,82,5.4,4.3,3.8,2.1,60,60,60,60,78.6,24
153,13910,5205,374,2,51940,154890,381430,1047120,3,11,27,82,5.7,4.4,3.8,2.1,61,60,60,60,76.9,29
151,18400,6564,356,3,49110,136490,363030,1044230,3,10,26,82,5.6,4.1,3.7,2.1,61,60,60,60,76.7,22
152,12260,4318,352,2,48920,135220,363330,1047550,3,10,26,82,5.3,3,3.5,2,60,60,60,61,77.2,23
156,21280,7790,366,2,27640,113940,363050,1042270,2,9,26,82,6.2,2.9,3.6,2,59,60,60,60,77.3,30
150,15570,5635,361,2,24130,98370,358950,1026700,2,8,26,81,5.8,2.4,3.3,1.9,59,60,60,60,76.6,22
150,12070,4484,371,4,27080,86300,346880,1026610,2,7,25,81,5.8,2,3.2,1.8,60,60,60,60,77.7,31
150,12060,4385,363,3,27180,86290,346830,1014550,2,7,25,80,4.7,1.7,3.1,1.8,61,59,60,61,77.3,24
151,15020,5547,369,2,36200,99340,343840,1012760,3,8,25,80,2,2.4,3.1,1.7,62,59,60,61,77,24
151,12160,4568,375,3,36070,87180,343870,1015850,3,7,25,80,0.9,2.2,3,1.7,62,59,60,61,77.3,31
151,8020,3023,376,2,28050,95220,335850,1007830,2,7,24,79,-0.5,2.5,3,1.6,60,59,60,61,76.5,35
159,16020,6185,385,2,12030,91220,331830,1007810,1,7,24,79,0.8,3.6,3.1,1.6,59,59,60,61,78.3,39
155,12030,4591,381,7,10990,95200,331810,1004970,1,7,24,79,-4.4,3.5,3.2,1.6,58,59,60,61,77,35
153,10990,4708,428,9,0,108240,360860,993980,0,8,26,78,5.4,5.4,3.3,1.6,58,59,60,61,77,29
153,12050,4436,367,3,28070,140450,370970,990010,2,10,26,78,6.6,4.6,3.2,1.6,60,60,60,61,76.3,26
152,16040,5898,367,2,28090,124410,366930,989970,2,9,26,78,7,4.5,3,1.6,61,60,60,61,76.3,26
146,12030,4448,369,3,28080,112380,354900,993700,2,8,25,78,5.9,4.1,2.8,1.5,61,61,60,61,76.5,29
150,16060,5960,371,3,28030,112330,358420,991810,2,8,25,78,3.2,3.6,2.6,1.4,60,60,60,61,76.3,31
149,12020,4497,372,2,28030,112320,358410,979790,2,8,25,77,3.9,3.3,2.4,1.3,58,60,60,61,76.3,28
155,16010,6202,387,4,24030,108320,342400,963780,2,8,24,76,7.1,3.5,2.4,1.3,58,60,60,61,76.7,33
148,12020,4409,366,3,40060,119320,342410,967310,3,8,24,76,3.8,3,2.2,1.2,59,61,60,61,77.2,25
149,12010,4341,361,2,28050,119870,342420,971300,2,8,24,76,2.2,2.4,2,1.1,60,61,60,61,77.2,26
153,16010,5981,373,2,28250,103860,326410,955290,2,7,23,75,1.3,2.2,1.9,1.1,60,61,60,61,77.5,30
157,12040,4497,373,4,16210,112820,326420,943250,1,7,23,74,2,2.8,1.9,1.1,60,61,60,61,76.1,38
154,16210,6201,382,8,0,108080,322320,942780,0,7,23,74,2.4,2.4,1.8,1.1,64,61,60,61,76.5,33
154,16010,6137,383,3,24020,116110,330200,956970,2,8,24,75,2.8,2.8,1.7,1,61,60,60,61,76.6,32
153,12010,4485,373,4,12010,116290,331190,944960,1,8,24,74,2.4,2.8,1.6,1,62,60,60,61,76.8,28
153,12010,4556,379,4,35580,116280,331110,943390,2,8,24,74,2.6,2.7,1.6,1,61,60,60,61,76.1,33
154,23020,8816,382,3,33560,121300,308090,936180,2,9,23,74,3.6,2.4,1.5,0.9,58,59,60,61,76.1,23
