bpm,pace,time,dist_year,dist_quater,count_year,count_quater,point_quater
149,357,4305,1050700,372590,82,27,4.2
147,363,4403,1038580,372480,81,27,4
149,366,4468,1049630,372320,82,27,3.8
153,374,5205,1047120,381430,82,27,3.8
151,356,6564,1044230,363030,82,26,3.7
152,352,4318,1047550,363330,82,26,3.5
156,366,7790,1042270,363050,82,26,3.6
150,361,5635,1026700,358950,81,26,3.3
150,371,4484,1026610,346880,81,25,3.2
150,363,4385,1014550,346830,80,25,3.1
151,369,5547,1012760,343840,80,25,3.1
151,375,4568,1015850,343870,80,25,3
151,376,3023,1007830,335850,79,24,3
159,385,6185,1007810,331830,79,24,3.1
155,381,4591,1004970,331810,79,24,3.2
153,428,4708,993980,360860,78,26,3.3
153,367,4436,990010,370970,78,26,3.2
152,367,5898,989970,366930,78,26,3
146,369,4448,993700,354900,78,25,2.8
150,371,5960,991810,358420,78,25,2.6
149,372,4497,979790,358410,77,25,2.4
155,387,6202,963780,342400,76,24,2.4
148,366,4409,967310,342410,76,24,2.2
149,361,4341,971300,342420,76,24,2
153,373,5981,955290,326410,75,23,1.9
157,373,4497,943250,326420,74,23,1.9
154,382,6201,942780,322320,74,23,1.8
154,383,6137,956970,330200,75,24,1.7
153,373,4485,944960,331190,74,24,1.6
153,379,4556,943390,331110,74,24,1.6
154,382,8816,936180,308090,74,23,1.5
155,371,4670,923620,309420,73,23,1.5
150,384,8069,902620,298430,72,23,1.3
155,390,4485,891150,297200,71,23,1.4
151,378,4542,910550,297130,72,23,1.3
150,387,4665,914530,307750,72,24,0.7
151,386,4712,902340,295560,71,23,0.6
152,385,4590,890340,283560,70,22,0.5
152,389,4682,893990,271550,70,21,0.4
153,396,6361,893660,255520,70,20,0.4
151,398,4792,881650,243510,69,19,0.4
149,394,4743,869650,231510,68,18,0.2
154,402,8922,878530,209350,69,17,0.2
150,398,4790,866530,203860,68,17,0.1
155,397,8678,862750,184280,68,16,0.1
154,394,4745,850740,172270,67,15,0.1
152,389,4694,853710,160240,67,14,0
154,384,4627,856690,148220,67,13,-0.1
153,392,4736,844640,136170,66,12,-0.2
154,394,4783,832530,124060,65,11,-0.2
153,400,4815,820530,120090,64,11,-0.1
152,395,4708,824210,108200,64,10,-0.2
152,398,5187,826210,95200,64,9,-0.3
148,402,4806,814280,83270,63,8,-0.7
151,400,5567,815630,69380,63,7,-1
148,406,4069,820910,59370,63,6,-1.5
147,408,4181,810670,49130,62,5,-2.2
152,397,4753,814460,48510,62,5,-2.4
151,401,4672,802820,36870,61,4,-3.2
164,428,4719,791810,25860,60,3,-0.3
150,415,2708,831618,154130,62,14,2.7
149,414,3331,861188,239710,64,21,1.6
150,413,4685,880278,294100,65,25,1.9
148,400,4811,868268,310070,64,26,1.6
148,399,4522,856938,298740,63,25,1.5
155,375,3753,846938,301970,62,25,1.5
148,389,3765,837288,307570,61,25,1.4
147,398,4624,840688,295970,61,24,1.3
148,393,4718,828718,300000,60,24,1
158,369,3699,833718,299190,60,24,0.9
145,415,4780,837228,287700,60,23,0.8
147,394,4399,841088,276560,60,22,0.6
146,403,4790,829228,264700,59,21,0.5
146,399,4812,832238,252660,59,20,0.3
148,399,4675,836868,240970,59,19,0.1
148,400,4177,826448,230550,58,18,0
148,416,4871,830648,226950,58,18,0.1
149,417,4909,818888,231190,57,18,0.2
150,414,5026,819928,234830,57,18,0.4
150,423,4817,823568,237640,57,18,0.1
150,424,5322,826038,225110,57,17,0.2
148,426,5089,824378,228720,57,17,0
150,431,5092,827588,216920,57,16,0.2
146,407,4749,910460,277660,64,20,0.2
146,410,4757,914226,266080,64,19,0
145,416,4745,914183,270490,64,19,-0.1
145,416,6455,898673,254980,63,18,-0.3
153,393,6131,904994,239400,63,17,-0.4
154,403,6462,888994,223400,62,16,-0.4
156,401,4812,885673,227200,62,16,-0.2
155,384,5086,890490,245610,62,17,-0.4
154,396,6052,875240,230360,61,16,-0.4
157,402,6439,880416,214360,62,15,-0.3
153,416,3831,871226,220830,61,15,-0.1
149,391,3168,917497,259490,65,17,-0.7
155,385,6174,901497,243490,64,16,-0.8
150,389,6144,885737,227730,63,15,-1.1
162,401,5684,871567,229360,62,15,-0.7
158,406,6329,856017,228810,61,15,-0.6
154,394,6308,840017,227810,60,15,-0.8
152,396,6249,876329,212070,62,14,-0.9
157,399,7453,887336,193410,63,13,-0.9
148,402,4640,875796,181870,62,12,-1.1
153,388,4052,899671,202000,64,13,-1.3
152,407,6445,905114,201430,64,13,-1.5
152,395,6242,935975,200940,66,13,-2
156,395,6188,935355,201040,66,13,-2.3
156,406,6513,919345,185030,65,12,-2.2
152,408,6395,949133,169370,67,11,-2.4
157,419,6591,947763,153670,67,10,-2.2
153,408,6146,972782,169598,69,11,-2.3
146,445,7131,956772,153588,68,10,-2.4
148,428,6778,981641,168168,70,11,-3.1
145,461,6926,976649,153168,70,10,-3.1
143,463,6952,982909,138168,70,9,-3.3
142,466,7258,1003621,160568,71,11,-4.2
141,469,7050,1008078,145568,71,10,-4.5
144,463,7063,1007844,145348,71,10,-5.2
147,460,7049,1015638,130058,72,9,-5.3
145,474,7471,999908,114328,71,8,-5.4
145,459,6990,1029295,114100,73,8,-5.6
139,483,7610,1013565,113370,72,8,-5.6
148,456,7012,1009844,159380,72,11,-4.1
144,488,7331,994824,144360,71,10,-3.9
142,459,5254,993993,191970,71,13,-3.4
141,488,5450,1004764,219710,72,15,-3.3
141,540,8334,989374,228423,71,16,-2.8
143,511,7683,984354,256824,71,19,-3
139,495,7431,993154,338713,73,25,-3.1
140,478,7181,978154,336698,72,25,-3.2
139,484,7272,963154,336619,71,25,-3.1
140,466,6994,953914,337823,71,25,-3.2
140,476,7175,938864,345999,70,27,-3.1
141,470,7682,927404,329679,70,26,-3.2
140,468,7447,921534,313799,70,25,-3.3
143,441,5812,908374,300639,69,24,-3.4
140,489,7350,902874,285639,69,23,-3.4
140,492,7393,893884,270639,69,22,-3.4
143,464,4775,896849,260359,70,21,-3.4
140,495,7437,881839,245349,69,20,-3.4
141,477,6495,873339,253013,69,20,-3.1
139,479,6069,860689,249870,68,20,-3.4
139,503,5768,849236,259698,67,20,-3
138,478,4797,839206,258081,66,20,-3
139,484,5000,828888,269017,65,20,-3
140,515,5955,817328,268301,64,20,-2.7
139,527,6068,805815,268801,63,20,-2.3
146,439,5889,792427,266871,62,20,-2.4
149,437,6716,777081,272778,61,20,-2.4
143,474,5390,773424,276426,61,20,-2.3
163,427,9372,751523,254525,60,19,-1.8
149,423,3670,750604,277502,61,20,-1.8
147,452,8168,732557,274465,60,20,-1.9
159,392,3218,724366,290468,59,21,-2.2
147,460,5983,711381,298737,58,21,-1.8
151,422,6303,696460,313155,57,22,-2
142,469,7607,680256,296951,56,21,-2
145,468,5608,668293,299995,55,21,-2.1
143,451,3266,661055,292757,54,20,-2.2
141,449,1810,657030,298765,53,20,-2.5
157,369,7861,644626,349438,53,24,-3.8
143,492,4681,635119,339931,52,23,-3.6
160,355,7564,613838,339915,51,23,-4.2
144,446,3756,605425,346519,50,23,-4.7
160,349,7438,592661,325265,50,22,-4.7
145,455,4945,581817,314421,49,21,-4.7
166,347,4176,569804,321865,48,21,-4.8
166,350,4015,558346,310407,47,20,-4.8
160,351,7472,537093,304160,46,20,-4.8
168,349,5245,522088,289155,45,19,-4.8
169,349,5949,505082,295233,44,20,-5.4
161,372,5444,490452,280603,43,19,-5.4
168,354,5314,486072,265593,43,18,-5.5
161,410,5006,473879,282944,42,19,-5.9
166,357,4288,461878,270943,41,18,-6.1
165,344,7323,440624,264760,40,18,-7
170,339,4870,447804,250430,40,17,-7.3
169,339,5091,432795,235421,39,16,-7.6
173,350,5257,417788,220414,38,15,-7.7
168,344,3457,420365,210381,38,14,-8.2
164,362,3857,409715,211370,37,14,-8.7
175,341,3420,399709,201364,36,13,-8.8
173,371,7425,379696,191950,35,13,-9
173,356,3572,369688,181942,34,12,-9
171,365,7773,348428,160682,33,11,-9.3
170,370,7888,327163,150956,32,11,-9.5
170,373,5605,312146,146321,31,11,-10.3
170,371,7235,292689,126864,30,10,-10.7
165,374,5618,277683,121858,29,10,-11.5
172,383,5261,263963,108138,28,9,-11.6
172,376,3529,254599,98774,27,8,-11.9
169,381,5786,239443,99388,26,9,-12.2
172,401,5772,225055,85000,25,8,-12.1
173,401,6048,209984,69929,24,7,-12
177,393,4580,198345,72080,23,8,-11.8
171,383,4065,187746,76351,22,9,-12.8
168,387,4473,176207,86392,21,11,-11.1
173,414,4308,165825,88285,20,12,-9.6
175,381,3818,155825,78285,19,11,-9.4
172,387,3880,145815,77985,18,12,-10
169,399,2305,140055,77955,17,12,-10.4
174,387,3114,132025,69925,16,11,-10.2
169,414,2389,126265,64165,15,10,-9.9
176,432,2103,121405,59305,14,9,-8.6
171,382,3836,111395,49295,13,8,-8.5
170,372,3541,101895,39795,12,7,-8.6
163,389,2345,95885,33785,11,6,-9.1
158,378,2297,89815,27715,10,5,-10.7
164,331,2362,92650,20540,10,4,-13.6
168,402,2054,87550,24300,9,4,-13.6
163,423,3263,79850,25090,8,4,-12.5
138,574,1161,77840,23080,7,3,-10.7
160,466,2677,72110,27980,6,3,-6.9
154,464,4112,138360,53240,11,4,-8.1
160,407,3464,164600,44750,14,3,-8.7
158,401,4270,153970,34120,13,2,-11.1
171,415,8948,132460,12610,12,1,-9.2
165,407,5139,119850,0,11,0,-2.6
159,429,4309,134560,58520,14,4,-3.9
164,397,1378,260690,106380,20,9,-1.4
167,362,5451,276890,91330,21,8,-1.1
159,384,7692,276880,71320,21,7,-1.1
159,401,8041,336980,54620,25,7,-1.5
170,356,3561,356490,44620,26,6,-0.8
149,426,2812,359400,38030,26,5,-0.6
159,391,5871,359410,23030,26,4,-0.1
151,383,1496,355510,19130,25,3,-1.1
147,412,2408,371620,13300,26,2,-2.5
155,381,3815,387230,3300,27,1,-5.5
162,392,1004,491500,0,38,0,-1.2
161,353,3542,489710,172250,39,11,0.2
159,342,1857,484300,186840,38,11,0.1
162,358,2157,478300,230860,37,13,0.4
163,375,15819,478300,363300,37,26,-0.3
163,349,3494,468300,371480,36,27,-0.7
164,371,8390,467240,357120,36,27,-0.9
169,348,5231,493580,351430,37,27,-0.9
162,354,5149,509070,344010,39,27,-1.2
158,349,5398,533280,336970,40,27,-1.4
155,349,3496,533290,326970,40,26,-1.7
169,337,7104,610370,314440,47,26,-1.8
155,399,3998,600370,304440,46,25,-1.8
159,367,7350,601620,284440,46,24,-2
166,333,3212,602060,274440,46,23,-2
161,378,11346,585080,244440,47,22,-2.1
156,350,3512,575060,239220,46,22,-2.5
165,383,7681,555060,219220,45,21,-2.4
152,380,3840,544980,209140,44,20,-2.7
154,381,3625,535480,203260,43,20,-2.9
162,382,7666,515470,183250,42,19,-2.9
149,381,3624,505970,173750,41,18,-3.3
158,372,5589,490960,158740,40,17,-3.6
152,399,3995,480960,148740,39,16,-3.8
153,389,4653,469020,136800,38,15,-3.8
154,383,3900,458850,126630,37,14,-4.2
158,381,5888,443410,111190,36,13,-4.4
161,392,3930,433400,105780,35,13,-3.8
159,395,5938,418390,90770,34,12,-3.9
156,391,3139,418390,82750,34,11,-4.1
158,391,4014,408140,72500,33,10,-4.2
159,418,2930,399980,64340,32,9,-3.9
165,380,3815,389960,54320,31,8,-3.7
164,390,3203,389810,46120,31,7,-3.3
164,365,3409,387810,36800,31,6,-3.3
164,400,2845,389710,29700,31,5,-2.4
159,389,3106,381750,21740,30,4,-2.2
160,396,3465,405220,13020,31,3,-1.3
154,423,2035,431540,8220,34,2,0.3
149,437,1587,427920,4600,33,1,3.5
134,466,2149,423320,0,32,0,3.8
