bpm,pace,time,dist_quater,count_quater,point_quater,steps_quater,PAI_quater,puls_quater,gap,temperature
149,357,4305,372590,27,4.2,1160574,194,60,2,20
147,363,4403,372480,27,4,1172636,195,60,4,21
149,366,4468,372320,27,3.8,1184919,196,60,3,24
153,374,5205,381430,27,3.8,1189566,196,60,2,29
151,356,6564,363030,26,3.7,1181979,195,60,3,22
152,352,4318,363330,26,3.5,1174499,194,60,2,23
156,366,7790,363050,26,3.6,1177586,192,60,2,30
150,361,5635,358950,26,3.3,1171106,191,60,2,22
150,371,4484,346880,25,3.2,1154842,190,60,4,31
150,363,4385,346830,25,3.1,1169463,189,60,3,24
151,369,5547,343840,25,3.1,1172885,189,60,2,24
151,375,4568,343870,25,3,1178666,189,60,3,31
151,376,3023,335850,24,3,1184117,188,60,2,35
159,385,6185,331830,24,3.1,1183908,187,60,2,39
155,381,4591,331810,24,3.2,1184167,189,60,7,35
153,428,4708,360860,26,3.3,1188380,192,60,9,29
153,367,4436,370970,26,3.2,1199133,193,60,3,26
152,367,5898,366930,26,3,1199641,193,60,2,26
146,369,4448,354900,25,2.8,1182219,192,60,3,29
150,371,5960,358420,25,2.6,1192018,191,60,3,31
149,372,4497,358410,25,2.4,1171163,189,60,2,28
155,387,6202,342400,24,2.4,1157641,187,60,4,33
148,366,4409,342410,24,2.2,1168751,184,60,3,25
149,361,4341,342420,24,2,1153208,182,60,2,26
153,373,5981,326410,23,1.9,1149192,181,60,2,30
157,373,4497,326420,23,1.9,1161124,180,60,4,38
154,382,6201,322320,23,1.8,1145464,181,60,8,33
154,383,6137,330200,24,1.7,1119786,178,60,3,32
153,373,4485,331190,24,1.6,1117217,178,60,4,28
153,379,4556,331110,24,1.6,1106670,176,60,4,33
154,382,8816,308090,23,1.5,1081168,173,60,3,23
155,371,4670,309420,23,1.5,1086152,172,60,3,28
150,384,8069,298430,23,1.3,1101833,172,60,2,29
155,390,4485,297200,23,1.4,1112775,172,60,5,30
151,378,4542,297130,23,1.3,1124641,175,60,4,21
150,387,4665,307750,24,0.7,1144679,172,60,3,19
151,386,4712,295560,23,0.6,1120930,168,60,4,21
152,385,4590,283560,22,0.5,1102824,163,60,3,21
152,389,4682,271550,21,0.4,1090500,159,60,3,22
153,396,6361,255520,20,0.4,1062342,154,60,2,22
151,398,4792,243510,19,0.4,1044652,152,60,2,16
149,394,4743,231510,18,0.2,1041146,151,60,9,14
154,402,8922,209350,17,0.2,969876,142,61,3,20
150,398,4790,203860,17,0.1,962151,139,61,4,15
155,397,8678,184280,16,0.1,940936,134,61,2,20
154,394,4745,172270,15,0.1,926507,132,61,7,17
152,389,4694,160240,14,0,927324,128,61,3,24
154,384,4627,148220,13,-0.1,922877,126,61,4,21
153,392,4736,136170,12,-0.2,894292,122,61,3,23
154,394,4783,124060,11,-0.2,895700,119,61,3,15
153,400,4815,120090,11,-0.1,881103,117,61,7,11
152,395,4708,108200,10,-0.2,874087,106,61,3,19
152,398,5187,95200,9,-0.3,850002,100,61,2,15
148,402,4806,83270,8,-0.7,842841,98,61,8,9
151,400,5567,69380,7,-1,821406,91,61,4,17
148,406,4069,59370,6,-1.5,802376,89,62,2,17
147,408,4181,49130,5,-2.2,775096,88,62,4,14
152,397,4753,48510,5,-2.4,752109,85,62,2,12
151,401,4672,36870,4,-3.2,730438,84,62,2,15
164,428,4719,25860,3,-0.3,713014,86,61,29,15
150,415,2708,154130,14,2.7,838233,118,61,27,18
149,414,3331,239710,21,1.6,928903,139,60,27,-1
150,413,4685,294100,25,1.9,941150,151,60,8,13
148,400,4811,310070,26,1.6,967339,146,60,2,17
148,399,4522,298740,25,1.5,963732,146,61,3,4
155,375,3753,301970,25,1.5,985522,145,61,3,13
148,389,3765,307570,25,1.4,991695,144,61,3,9
147,398,4624,295970,24,1.3,993455,143,61,2,6
148,393,4718,300000,24,1,1000041,141,61,2,9
158,369,3699,299190,24,0.9,1001182,138,61,3,18
145,415,4780,287700,23,0.8,1006600,133,62,2,14
147,394,4399,276560,22,0.6,1013022,129,62,2,15
146,403,4790,264700,21,0.5,999437,125,62,3,10
146,399,4812,252660,20,0.3,983031,121,62,2,15
148,399,4675,240970,19,0.1,981845,119,62,3,22
148,400,4177,230550,18,0,980628,119,62,2,23
148,416,4871,226950,18,0.1,988051,118,62,2,18
149,417,4909,231190,18,0.2,997554,119,62,3,24
150,414,5026,234830,18,0.4,991987,117,62,3,19
150,423,4817,237640,18,0.1,997271,114,62,2,25
150,424,5322,225110,17,0.2,1009920,112,62,7,23
148,426,5089,228720,17,0,1017961,111,62,1,18
150,431,5092,216920,16,0.2,1011637,111,62,22,15
146,407,4749,277660,20,0.2,1138057,127,62,3,16
146,410,4757,266080,19,0,1154157,125,62,3,20
145,416,4745,270490,19,-0.1,1164036,120,62,2,31
145,416,6455,254980,18,-0.3,1158513,117,62,2,19
153,393,6131,239400,17,-0.4,1143951,115,62,2,31
154,403,6462,223400,16,-0.4,1139614,115,62,4,30
156,401,4812,227200,16,-0.2,1137768,117,62,6,33
155,384,5086,245610,17,-0.4,1160758,115,62,3,27
154,396,6052,230360,16,-0.4,1153455,113,62,5,25
